mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num,verify_typ,sentiment,neg_prob,neu_prob,pos_prob
4866516888064771,2023-02-07 14:31:30,印象来安,https://weibo.com/6251881295?refer_flag=1001030103_,【#美国89%的大学生都是用ChatGPT做作业#】#我国人工智能相关企业超百万家#  据 报道，目前，纽约的教育系统全面封杀了ChatGPT，老师们防ChatGPT如洪水猛兽，却还是屡禁不止，学生们已经在用ChatGPT肆无忌惮地作弊了，一项调查显示，现在美国89%的大学生都是用ChatGPT做作业。#ChatGPT自己给自己的定义# 当然，有攻就有防，斯坦福大学的研究团队就提出了一种用于检测AI生成文本的全新算法DetectGPT。这个算法可以用于判断文本是否是机器生成，并且不需要训练人工智能或收集大型数据集来比较文本。研究团队声称新算法的检测的准确性能有了实质性的提高，并表明该技术可对未来越来越普遍的人工智能写作论文事件起到很好的反制作用。企查查数据显示，我国现存人工智能相关企业超109万家。近10年来，我国新增人工智能相关企业注册量逐年上升。#百度人机交互专利近日获授权# L中国科技观察的微博视频 ,iPhone客户端,,,,https://weibo.com/6251881295/MrUpixQ0X,0,1,0,蓝V认证,neutral,0.2610362470149994,0.540522038936615,0.19844171404838562
4866515902398753,2023-02-07 14:27:30,科技云师姐,https://weibo.com/6381359319?refer_flag=1001030103_,【#百度人机交互专利近日获授权#】#ChatGPT会是现实世界的MOSS吗#据媒体近期报道，百度类ChatGPT产品名为ERNIEBOT，预计三月份完成内测，面向公众开放。企查查APP显示，2月7日，北京百度网讯科技有限公司申请的“交互方法、模型的训练方法、装置、设备及介质”专利获授权。企查查专利摘要显示，本公开涉及人工智能技术领域，尤其涉及深度学习、智能搜索、NLP等技术领域。具体实现方案为：利用无标注样本语句，通过无监督的对比学习训练方式训练深度学习模型，得到第一级模型；以及利用样本语句对训练第一级模型，得到一级目标模型，样本语句对包括语义相同的两个样本语句。  L至简财经的微博视频 ,微博视频号,,,,https://weibo.com/6381359319/MrUnIa41z,0,0,0,没有认证,neutral,0.09691531211137772,0.7411207556724548,0.16196399927139282
4866515630032112,2023-02-07 14:26:30,环球网科技频道,https://weibo.com/2660940103?refer_flag=1001030103_,【#百度人机交互专利近日获授权#】据媒体近期报道，#百度类ChatGPT产品名为ERNIEBOT#，预计三月份完成内测，面向公众开放。企查查APP显示，2月7日，北京百度网讯科技有限公司申请的“交互方法、模型的训练方法、装置、设备及介质”专利获授权。企查查专利摘要显示，本公开涉及人工智能技术领域，尤其涉及深度学习、智能搜索、NLP等技术领域。具体实现方案为：利用无标注样本语句，通过无监督的对比学习训练方式训练深度学习模型，得到第一级模型；以及利用样本语句对训练第一级模型，得到一级目标模型，样本语句对包括语义相同的两个样本语句。#美国89%的大学生都是用ChatGPT做作业#  L至简财经的微博视频 ,微博视频号,,,,https://weibo.com/2660940103/MrUnh08lW,2584,0,0,蓝V认证,neutral,0.1115046963095665,0.725969135761261,0.16252624988555908
4866515197494810,2023-02-07 14:25:30,证券市场红周刊,https://weibo.com/1648948823?refer_flag=1001030103_,【ChatGPT核心是...】#ChatGPT#核心是算法突破带来了?NLP?（自然语言处理）技术上限的进一步提升，加速?NLP?技术在具体应用上机器人、人机交互、智能客服、语音对话、AI视觉、AIGC、智能公文写作等领域持续落地的应用，预计到?2026?年国内?NLP?带动相关产业规模有望破千亿。ChatGPT点燃的人工智能这把火，会是一次世纪性变革。本期视频有专门的讲解，点击视频观看。 L证券市场红周刊的微博视频 ,微博视频号,,,,https://weibo.com/1648948823/MrUmzvrK2,16,1,11,蓝V认证,neutral,0.07219382375478745,0.48957860469818115,0.4382275640964508
4866514988303473,2023-02-07 14:24:30,理财向导,https://weibo.com/5346472400?refer_flag=1001030103_,讯飞开放平台持续在多语种语音合成、多语种语音识别、自然语言处理、图文识别、人机交互等领域提供丰富的AI能力，帮助开发者降低开发周期和成本，促进高效的产品集成落地。所属概念：ChatGPT概念，人工智能，国产软件，人脸识别，语音技术，智能穿戴，在线教育，智能家居，智慧城市，机器人概念，智能音箱，智能医疗，MSCI概念，雄安新区，独角兽概念，车联网，数字孪生，标普道琼斯A股，无线耳机，量子科技，华为概念，同花顺漂亮100，工业互联网，元宇宙，虚拟数字人，东数西算（算力），家庭医生，AIGC概念，国企改革。 ,微博 weibo.com,,,,https://weibo.com/5346472400/MrUmeyQ6Z,0,0,0,黄V认证,neutral,0.10121605545282364,0.6083256602287292,0.2904582917690277
4866514978604588,2023-02-07 14:24:30,短线股分析-小张,https://weibo.com/5802905784?refer_flag=1001030103_,讯飞开放平台持续在多语种语音合成、多语种语音识别、自然语言处理、图文识别、人机交互等领域提供丰富的AI能力，帮助开发者降低开发周期和成本，促进高效的产品集成落地。所属概念：ChatGPT概念，人工智能，国产软件，人脸识别，语音技术，智能穿戴，在线教育，智能家居，智慧城市，机器人概念，智能音箱，智能医疗，MSCI概念，雄安新区，独角兽概念，车联网，数字孪生，标普道琼斯A股，无线耳机，量子科技，华为概念，同花顺漂亮100，工业互联网，元宇宙，虚拟数字人，东数西算（算力），家庭医生，AIGC概念，国企改革。 ,微博 weibo.com,,,,https://weibo.com/5802905784/MrUmdA6rG,0,0,0,没有认证,neutral,0.10121605545282364,0.6083256602287292,0.2904582917690277
4866514966808133,2023-02-07 14:24:30,涨势向导,https://weibo.com/5879394837?refer_flag=1001030103_,讯飞开放平台持续在多语种语音合成、多语种语音识别、自然语言处理、图文识别、人机交互等领域提供丰富的AI能力，帮助开发者降低开发周期和成本，促进高效的产品集成落地。所属概念：ChatGPT概念，人工智能，国产软件，人脸识别，语音技术，智能穿戴，在线教育，智能家居，智慧城市，机器人概念，智能音箱，智能医疗，MSCI概念，雄安新区，独角兽概念，车联网，数字孪生，标普道琼斯A股，无线耳机，量子科技，华为概念，同花顺漂亮100，工业互联网，元宇宙，虚拟数字人，东数西算（算力），家庭医生，AIGC概念，国企改革。 ,搜狗高速浏览器,,,,https://weibo.com/5879394837/MrUmcsz6B,0,0,0,黄V认证,neutral,0.10121605545282364,0.6083256602287292,0.2904582917690277
4866514324293999,2023-02-07 14:21:30,零态LT,https://weibo.com/7582892507?refer_flag=1001030103_,【#ChatGPT有多靠谱#】这款AI语言模型，让撰写邮件、论文、脚本，制定商业提案，创作诗歌、故事，甚至敲代码、检查程序错误都变得易如反掌。不少和ChatGPT“聊过天”的网友纷纷感叹，“只有你想不到，没有ChatGPT办不成的”。上线仅仅2个月，ChatGPT的活跃用户就突破一亿。#百度人机交互专利近日获授权# （中央广电总台中国之声）L至简财经的微博视频 ,微博视频号,,,,https://weibo.com/7582892507/MrUlai143,0,0,0,红V认证,neutral,0.37238049507141113,0.405583918094635,0.22203557193279266
4866514157835973,2023-02-07 14:20:30,达州城事频道,https://weibo.com/6511246022?refer_flag=1001030103_,【#美国89%的大学生都是用ChatGPT做作业#】#我国人工智能相关企业超百万家#  据 报道，目前，纽约的教育系统全面封杀了ChatGPT，老师们防ChatGPT如洪水猛兽，却还是屡禁不止，学生们已经在用ChatGPT肆无忌惮地作弊了，一项调查显示，现在美国89%的大学生都是用ChatGPT做作业。#ChatGPT自己给自己的定义# 当然，有攻就有防，斯坦福大学的研究团队就提出了一种用于检测AI生成文本的全新算法DetectGPT。这个算法可以用于判断文本是否是机器生成，并且不需要训练人工智能或收集大型数据集来比较文本。研究团队声称新算法的检测的准确性能有了实质性的提高，并表明该技术可对未来越来越普遍的人工智能写作论文事件起到很好的反制作用。企查查数据显示，我国现存人工智能相关企业超109万家。近10年来，我国新增人工智能相关企业注册量逐年上升。#百度人机交互专利近日获授权# L中国科技观察的微博视频 ,微博视频号,,,,https://weibo.com/6511246022/MrUkTwSuF,0,0,0,蓝V认证,neutral,0.2610362470149994,0.540522038936615,0.19844171404838562
4866513984821981,2023-02-07 14:20:30,Jack飞行器,https://weibo.com/5868385001?refer_flag=1001030103_,【#ChatGPT上线2个月活跃用户破亿##ChatGPT有多靠谱#】最近，两个人工智能系统彻底火出了圈，成为许多网友热议的焦点。一个是冷酷无情的“幕后主角”MOSS，一个是多才多艺的“全能网友”ChatGPT。而最近火热的ChatGPT，是美国人工智能研究实验室OpenAI开发的一种全新聊天机器人模型，它能够通过学习和理解人类的语言来进行对话，还能根据聊天的上下文进行互动，并协助人类完成一系列任务。这款AI语言模型，让撰写邮件、论文、脚本，制定商业提案，创作诗歌、故事，甚至敲代码、检查程序错误都变得易如反掌。不少和ChatGPT“聊过天”的网友纷纷感叹，“只有你想不到，没有ChatGPT办不成的”。上线仅仅2个月，ChatGPT的活跃用户就突破一亿。#百度人机交互专利近日获授权# （中央广电总台中国之声）L至简财经的微博视频 ,微博视频号,,,,https://weibo.com/5868385001/MrUkCkepT,0,0,0,没有认证,neutral,0.217561274766922,0.5255125164985657,0.25692617893218994
